full_path,true_generator,pred_generator,confidence,entropy
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0555-30.png,StarGAN,StarGAN,0.99999213,0.00010444411073716125
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0002.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.8652739,0.46568890655410233
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01016-3.png,FaceApp,FaceApp,0.71809053,0.6080257100640665
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_04943.png,PGGAN-v1,PGGAN-v1,0.8697386,0.3898219514488661
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p02_s005.png,FLUX,FLUX,0.999673,0.0030970316977145676
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\063338.jpg,CelebA,CelebA,0.99997854,0.0002563979819597131
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_01468.png,FFHQ,FFHQ,0.5426907,1.014713563995184
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_03091.png,FFHQ,FFHQ,0.9333164,0.31854792176800323
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\038_03.jpg,London-DB,London-DB,0.9989109,0.009451269475094509
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_08177.png,FFHQ,PGGAN-v1,0.41686115,1.2264744984143765
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_04375.png,PGGAN-v1,PGGAN-v2,0.8664972,0.4130550514702867
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\057876.jpg,CelebA,CelebA,0.93338186,0.31920962471754244
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09177.png,PGGAN-v2,PGGAN-v2,0.8871487,0.4344753761639323
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\123699.jpg,CelebA,CelebA,0.88949674,0.45468973576310856
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\115_03.jpg,London-DB,London-DB,0.9999989,1.727848423294301e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09467.png,PGGAN-v2,FaceApp,0.5018105,0.7975369306494842
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09998.png,PGGAN-v2,PGGAN-v1,0.36537206,1.097898903433498
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_03143.png,FFHQ,FaceApp,0.5943235,0.9919456953417474
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\063763.jpg,CelebA,CelebA,0.9999765,0.00027866356130076456
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_02449-1.png,FaceApp,FFHQ,0.3656919,1.161300483402523
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_03101.png,PGGAN-v1,FFHQ,0.5063231,0.8101956953486972
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_00894.png,PGGAN-v1,PGGAN-v1,0.70298433,0.6484153865808326
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p08_s004.png,FLUX,SD1.5,0.47322747,1.2007874493977402
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0217-01.png,StarGAN,StarGAN,0.99999046,0.00012239211860986146
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00333-1.png,FaceApp,FaceApp,0.6815168,0.9996148671538732
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01166-3.png,FaceApp,FaceApp,0.6159965,0.6685794260731382
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\188054.jpg,CelebA,CelebA,0.9999987,1.9319084924225976e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\185649.jpg,CelebA,CelebA,0.99999785,3.19171113916354e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_05573.png,FFHQ,FFHQ,0.5922072,0.7376487569936327
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0466-12.png,StarGAN,StarGAN,0.9998758,0.0012448341930392768
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_03620.png,PGGAN-v2,PGGAN-v2,0.46612588,1.1185749410099706
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p04_s005.png,SD1.5,FFHQ,0.48420697,1.4184222748220847
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_04332.png,FFHQ,FaceApp,0.8672612,0.4142082465863954
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_06589.png,PGGAN-v2,PGGAN-v2,0.7705854,0.5446275795739082
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p00_s008.png,FLUX,FLUX,0.99914443,0.008030692584979904
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_02110.png,FFHQ,FFHQ,0.72660697,0.612988930072158
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0053.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.99665326,0.026832613363385986
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\018_03.jpg,London-DB,London-DB,0.9999701,0.0003481889349159836
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_04336.png,FFHQ,SD1.5,0.8988097,0.45376179687013446
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\196671.jpg,CelebA,CelebA,0.99982053,0.0018430905707079491
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_06477.png,PGGAN-v2,PGGAN-v2,0.64691144,0.9321675771849249
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09574.png,PGGAN-v2,PGGAN-v2,0.9474052,0.22135962225053069
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_09236.png,PGGAN-v1,PGGAN-v1,0.614413,0.718622315037229
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_04128.png,FFHQ,FFHQ,0.8652945,0.42955377171647685
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_03461.png,PGGAN-v1,PGGAN-v1,0.90524143,0.31805905667926976
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_00712.png,PGGAN-v1,FaceApp,0.7027108,0.9668610596411995
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p02_s007.png,SD1.5,FLUX,0.4291808,1.23211837486826
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p05_s007.png,SD1.5,SD1.5,0.9143494,0.33223496306533734
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_05379.png,PGGAN-v1,PGGAN-v2,0.9673171,0.1616520215785899
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_03585.png,PGGAN-v2,PGGAN-v2,0.97705644,0.11896346496068057
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00866-1.png,FaceApp,FFHQ,0.36586073,1.3143330810890808
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00898-2.png,FaceApp,FaceApp,0.83546954,0.4589227132596997
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0486-13.png,StarGAN,StarGAN,0.9997683,0.0021894628314611544
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_06092.png,FFHQ,FaceApp,0.7423759,0.6128965442208492
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_06121.png,FFHQ,FFHQ,0.57562053,1.1720563745592927
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_08384.png,PGGAN-v2,PGGAN-v1,0.64573175,0.7004111646086264
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_01420.png,FFHQ,FFHQ,0.90499467,0.44225075611139963
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_00136.png,PGGAN-v1,PGGAN-v1,0.8492516,0.43598708851427653
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0019.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.9553604,0.19199992701167468
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\056077.jpg,CelebA,CelebA,0.99969435,0.002932600137979484
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0673-24.png,StarGAN,StarGAN,0.9999995,7.150252311069113e-06
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\015153.jpg,CelebA,CelebA,0.976616,0.11114275444912124
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_09758.png,PGGAN-v1,PGGAN-v2,0.85394347,0.5515640307209966
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0998-36.png,StarGAN,StarGAN,0.99986136,0.0013744506769382337
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_05128.png,PGGAN-v1,FaceApp,0.58268815,0.909458802108133
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01275-3.png,FaceApp,FaceApp,0.99072284,0.06361523225944607
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p03_s011.png,FLUX,FLUX,0.9999883,0.0001486390059491901
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0155-05.png,StarGAN,StarGAN,0.9999926,9.839147969526817e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0503-23.png,StarGAN,StarGAN,0.9998481,0.001491383014057496
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09341.png,PGGAN-v2,PGGAN-v1,0.4245456,1.3074367743552884
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0046.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.9441099,0.2447293518593121
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0061.png,StyleGAN3-FFHQ,FFHQ,0.6742137,0.8841778825611474
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\010664.jpg,CelebA,CelebA,0.94168955,0.31952573633688636
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p00_s011.png,FLUX,FLUX,0.9978709,0.016231501891568616
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_02008.png,PGGAN-v1,PGGAN-v1,0.790282,0.5463324813502082
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0060.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.84244347,0.5536395623850631
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00758-2.png,FaceApp,FFHQ,0.7876219,0.5860934800746188
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p02_s009.png,FLUX,FLUX,0.99906224,0.008019468497633197
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_09849.png,FFHQ,FFHQ,0.97302455,0.1368844804353146
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\147989.jpg,CelebA,CelebA,0.9996377,0.0032355690309344306
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\044_03.jpg,London-DB,London-DB,0.9997094,0.0029183906349223867
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\098613.jpg,CelebA,CelebA,0.994812,0.0355612905593797
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0194-08.png,StarGAN,FaceApp,0.6506842,0.851277845407293
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_07125.png,FFHQ,FFHQ,0.53180647,1.3056217626383044
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p01_s006.png,FLUX,FLUX,0.9999169,0.0008803676454152971
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p04_s010.png,SD1.5,FFHQ,0.5531865,1.2873305688330072
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\115813.jpg,CelebA,CelebA,0.99997747,0.0002887380170266944
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_04786.png,FFHQ,FFHQ,0.8905966,0.36156142507233874
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01140-2.png,FaceApp,FFHQ,0.87423813,0.4274614356496095
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p05_s002.png,FLUX,FLUX,0.99291116,0.0461421062568634
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p05_s001.png,FLUX,FLUX,0.99992657,0.0008182513259362197
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_08896.png,PGGAN-v1,PGGAN-v1,0.6592411,0.656256615718776
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\103_03.jpg,London-DB,London-DB,0.99999666,4.9463890540390505e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_05859.png,PGGAN-v2,PGGAN-v1,0.669259,0.8144959781501833
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p07_s003.png,SD1.5,FFHQ,0.46218765,1.3792434995765475
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0012.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.9909718,0.06372668936305859
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09365.png,PGGAN-v2,PGGAN-v2,0.7573897,0.5699009826974261
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01394-1.png,FaceApp,FaceApp,0.7347511,0.7079427406790093
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09599.png,PGGAN-v2,FaceApp,0.76572126,0.547657839224353
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_09086.png,PGGAN-v2,PGGAN-v1,0.74507505,0.6487674323623637
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p07_s011.png,SD1.5,SD1.5,0.81129116,0.5755465853309802
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\014683.jpg,CelebA,CelebA,0.99596894,0.03155411294434287
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01489-3.png,FaceApp,FFHQ,0.55010116,0.9284343481430326
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00217-3.png,FaceApp,FaceApp,0.6386392,0.8850052470557146
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0087.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.9890521,0.07799280588577139
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\174179.jpg,CelebA,CelebA,0.9999995,9.427843677863152e-06
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0055-01.png,StarGAN,StarGAN,0.9999659,0.00038663773968889207
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\003_03.jpg,London-DB,London-DB,0.9965013,0.025567755102799274
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\012681.jpg,CelebA,CelebA,0.99969184,0.0029392670122441694
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_04380.png,FFHQ,FFHQ,0.7483011,0.7049879545514105
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_00033.png,PGGAN-v1,FFHQ,0.9015997,0.4328967950712259
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0098.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.9834609,0.09315955207167484
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0008.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.7285907,0.6243158364576543
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\066381.jpg,CelebA,CelebA,0.9999869,0.0001790636950039698
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00188-2.png,FaceApp,FFHQ,0.9333506,0.2797148336614419
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\114_03.jpg,London-DB,London-DB,0.99998,0.0002616676944621449
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_06020.png,PGGAN-v1,PGGAN-v2,0.66290134,0.729477494273741
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_03833.png,FFHQ,FFHQ,0.7398176,0.5840810103729707
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0704-28.png,StarGAN,StarGAN,0.9999883,0.00014506092199664957
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0961-40.png,StarGAN,StarGAN,0.9995931,0.003933754947493787
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_06908.png,FFHQ,FFHQ,0.9210591,0.3389564673953839
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0278-14.png,StarGAN,StarGAN,0.9999713,0.00033630445062289224
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_02565.png,PGGAN-v2,PGGAN-v2,0.84517425,0.5401342336090786
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0228-02.png,StarGAN,StarGAN,0.9999987,1.8497181017722868e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01044-1.png,FaceApp,FaceApp,0.6566552,0.6692508287250699
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00861-3.png,FaceApp,FaceApp,0.88492924,0.41993118429588133
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0692-25.png,StarGAN,StarGAN,0.99999833,2.392806613338416e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\036_03.jpg,London-DB,London-DB,0.99926203,0.0065386413087275014
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_08973.png,PGGAN-v1,PGGAN-v1,0.39860734,1.1000762271968714
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0162-09.png,StarGAN,StarGAN,0.99998295,0.0002040722201492296
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_08880.png,FFHQ,FFHQ,0.7510809,0.6758656326957332
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_01583.png,FFHQ,FaceApp,0.58076507,0.8643815052617334
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\133764.jpg,CelebA,CelebA,0.8414977,0.6163829664286489
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_06582.png,PGGAN-v1,FaceApp,0.87336344,0.40347829531967977
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_02015.png,PGGAN-v1,PGGAN-v2,0.6642328,1.1340217494591553
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_00232.png,PGGAN-v1,FaceApp,0.58110744,0.8689380170654806
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_03917.png,PGGAN-v2,PGGAN-v2,0.61034405,0.7764253538701238
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p03_s009.png,SD1.5,SD1.5,0.9972664,0.022922071150698248
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\082_03.jpg,London-DB,London-DB,0.99998677,0.00016616902578195822
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0403-12.png,StarGAN,StarGAN,0.99985135,0.0014643889490046215
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0128-04.png,StarGAN,StarGAN,0.99997866,0.0002528189316803864
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_03079.png,FFHQ,FFHQ,0.75976765,0.5686441766629287
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0034.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.93906444,0.330764209916464
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_05046.png,PGGAN-v2,PGGAN-v2,0.7756506,0.6563618485597652
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_05668.png,PGGAN-v2,FaceApp,0.7293447,0.7528911377638954
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_07953.png,PGGAN-v2,PGGAN-v2,0.92992944,0.25405022303429414
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_00106.png,FFHQ,FFHQ,0.68616325,0.8665464925900385
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_05322.png,PGGAN-v2,PGGAN-v2,0.9231997,0.2954137757933717
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_02332-1.png,FaceApp,FFHQ,0.8246479,0.4769231815183606
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0986-31.png,StarGAN,StarGAN,0.99999106,0.00011457369162214095
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_05357.png,PGGAN-v1,FaceApp,0.47522095,1.3338001161182278
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_01964.png,PGGAN-v2,FaceApp,0.46726882,1.310156274091086
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00369-2.png,FaceApp,FaceApp,0.5762952,0.9930188198780874
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\120_03.jpg,London-DB,London-DB,0.9993849,0.005863372641884293
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0770-31.png,StarGAN,StarGAN,0.9991154,0.007114497835825227
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_02320.png,PGGAN-v1,FaceApp,0.36877355,1.3377057580833285
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01142-1.png,FaceApp,FFHQ,0.61596876,0.9692232079177324
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\171047.jpg,CelebA,CelebA,0.9951414,0.03268085460212768
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0164-07.png,StarGAN,StarGAN,0.98582447,0.07455179269684611
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00246-3.png,FaceApp,FaceApp,0.58979124,1.0737056813040304
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p01_s003.png,SD1.5,SD1.5,0.38228258,1.4284630495764385
